"source","target","value"
"F-Skull_extraction","S-Surface_reconstruction",0
"F-Alignment/Head_motion_est","S-Surface_reconstruction",0
"F-Despiking","S-Surface_reconstruction",0
"F-Scrubbing","S-Surface_reconstruction",0
"F-Interpolate","S-Surface_reconstruction",0
"F-Slice_timing_correction","S-Surface_reconstruction",0
"F-Field_map_correction","S-Surface_reconstruction",0
"F-Unwarp","S-Surface_reconstruction",0
"F-Combined_echos","S-Surface_reconstruction",0
"F-Intensity_normalization","S-Surface_reconstruction",0
"F-Grand_mean_scaling","S-Surface_reconstruction",0
"F-Coregistration","S-Surface_reconstruction",0
"F-Spatial_normalization","S-Surface_reconstruction",0
"F-Spatial_smooth","S-Surface_reconstruction",0
"F-Extract_regressors","S-Surface_reconstruction",0
"F-surface","S-Surface_reconstruction",0
"F-RETROICOR","S-Surface_reconstruction",0
"F-RVHRCOR","S-Surface_reconstruction",0
"F-ANATICOR","S-Surface_reconstruction",0
"F-PESTICA","S-Surface_reconstruction",0
"F-CompCor","S-Surface_reconstruction",0
"F-tCompCor","S-Surface_reconstruction",0
"F-aCompCor","S-Surface_reconstruction",0
"F-ME_ICA","S-Surface_reconstruction",0
"F-ArtRepair","S-Surface_reconstruction",0
"F-Temporal_detrending","S-Surface_reconstruction",0
"F-Global_signal","S-Surface_reconstruction",0
"F-ICA_FIX","S-Surface_reconstruction",0
"F-ICA_AROMA","S-Surface_reconstruction",0
"F-Temporal_filt","S-Surface_reconstruction",0
"F-motion_regression","S-Surface_reconstruction",0
"F-Other_confound_regression","S-Surface_reconstruction",0
"F-PhysIO","S-Surface_reconstruction",0
"F-Regressors_filter","S-Surface_reconstruction",0
"F-Modular_filter_motion","S-Surface_reconstruction",0
"F-wavelet_decomposition","S-Surface_reconstruction",0
"Atlas_definition","S-Surface_reconstruction",0
"Time_series_ROI","S-Surface_reconstruction",0
"ROI_definition","S-Surface_reconstruction",0
"Combine_block","S-Surface_reconstruction",0
"Compute_connectivity","S-Surface_reconstruction",0
"Connectivity_normalization","S-Surface_reconstruction",0
"Network_definition","S-Surface_reconstruction",0
