Starting multiverse analysis for all universes...
Subject 29/100 done. Global efficiency: 0.3326510720470057
Subject 30/100 done. Global efficiency: 0.27534174790153276
Subject 31/100 done. Global efficiency: 0.27352909490468
Subject 32/100 done. Global efficiency: 0.27247754410742786
Subject 33/100 done. Global efficiency: 0.3867658325659142
Subject 34/100 done. Global efficiency: 0.29338601149729254
Subject 35/100 done. Global efficiency: 0.2828500950395188
Subject 36/100 done. Global efficiency: 0.28891653099587516
Subject 37/100 done. Global efficiency: 0.29012777991367217
Subject 38/100 done. Global efficiency: 0.22800760534766829
Subject 39/100 done. Global efficiency: 0.35271579697870387
Subject 40/100 done. Global efficiency: 0.3617609838546849
Subject 41/100 done. Global efficiency: 0.2741259229688948
Subject 42/100 done. Global efficiency: 0.39347906575848374
Subject 43/100 done. Global efficiency: 0.25246202743970064
Subject 44/100 done. Global efficiency: 0.3562479447992148
Subject 45/100 done. Global efficiency: 0.3454802983422194
Subject 46/100 done. Global efficiency: 0.3904068586555298
Subject 47/100 done. Global efficiency: 0.36182748131876735
Subject 48/100 done. Global efficiency: 0.261630556498515
Subject 49/100 done. Global efficiency: 0.24989625112987018
Subject 50/100 done. Global efficiency: 0.2861981817960637
Subject 51/100 done. Global efficiency: 0.27684705412259897
Subject 52/100 done. Global efficiency: 0.2878311216743936
Subject 53/100 done. Global efficiency: 0.42455734468372847
Subject 54/100 done. Global efficiency: 0.2925374860317533
Subject 55/100 done. Global efficiency: 0.34971566674997717
Subject 56/100 done. Global efficiency: 0.2365269985853291
Subject 57/100 done. Global efficiency: 0.2590306295022033
Subject 58/100 done. Global efficiency: 0.3652281575766683
Subject 59/100 done. Global efficiency: 0.3816727975813885
Subject 60/100 done. Global efficiency: 0.2895793719141063
Subject 61/100 done. Global efficiency: 0.3049963891355643
Subject 62/100 done. Global efficiency: 0.28806571018651594
Subject 63/100 done. Global efficiency: 0.27476282011777964
Subject 64/100 done. Global efficiency: 0.25750712520898705
Subject 65/100 done. Global efficiency: 0.2894187125498801
Subject 66/100 done. Global efficiency: 0.33021863390204004
Subject 67/100 done. Global efficiency: 0.33000649270081767
Subject 68/100 done. Global efficiency: 0.2824756079752903
Subject 69/100 done. Global efficiency: 0.3533211705756182
Subject 70/100 done. Global efficiency: 0.39832726257416906
Subject 71/100 done. Global efficiency: 0.3625845785641419
Subject 72/100 done. Global efficiency: 0.46951296631666917
Subject 73/100 done. Global efficiency: 0.4279335934718236
Subject 74/100 done. Global efficiency: 0.2644424051416118
Subject 75/100 done. Global efficiency: 0.430078486226697
Subject 76/100 done. Global efficiency: 0.3223441522001811
Subject 77/100 done. Global efficiency: 0.38564487822438326
Subject 78/100 done. Global efficiency: 0.3274326961715237
Subject 79/100 done. Global efficiency: 0.43495192813564476
Subject 80/100 done. Global efficiency: 0.41501049828142755
Subject 81/100 done. Global efficiency: 0.2868477565882592
Subject 82/100 done. Global efficiency: 0.33810122237579704
Subject 83/100 done. Global efficiency: 0.38278877812395007
Subject 84/100 done. Global efficiency: 0.304305219296025
Subject 85/100 done. Global efficiency: 0.3987980828549123
Subject 86/100 done. Global efficiency: 0.404045113003928
Subject 87/100 done. Global efficiency: 0.28573525393104027
Subject 88/100 done. Global efficiency: 0.3524398263922101
Subject 89/100 done. Global efficiency: 0.36428194960288923
Subject 90/100 done. Global efficiency: 0.2659773230510456
Subject 91/100 done. Global efficiency: 0.4493987208188818
Subject 92/100 done. Global efficiency: 0.3360584170821
Subject 93/100 done. Global efficiency: 0.36841773581705023
Subject 94/100 done. Global efficiency: 0.4791555471110787
Subject 95/100 done. Global efficiency: 0.29682148574050715
Subject 96/100 done. Global efficiency: 0.45345325858930813
Subject 97/100 done. Global efficiency: 0.3130156990126389
Subject 98/100 done. Global efficiency: 0.407204789327104
Subject 99/100 done. Global efficiency: 0.36503677214768554
Subject 100/100 done. Global efficiency: 0.2730956253649139
Subject 1/100 done. Global efficiency: 0.3618280874014454
Subject 2/100 done. Global efficiency: 0.4104452082202855
Subject 3/100 done. Global efficiency: 0.2835792792156424
Subject 4/100 done. Global efficiency: 0.2874977550305842
Subject 5/100 done. Global efficiency: 0.45014818266248574
Subject 6/100 done. Global efficiency: 0.352156014712475
Subject 7/100 done. Global efficiency: 0.2595794722650357
Subject 8/100 done. Global efficiency: 0.3299920383677953
Subject 9/100 done. Global efficiency: 0.292210654032097
Subject 10/100 done. Global efficiency: 0.26359540572373064
Subject 11/100 done. Global efficiency: 0.29882755273622336
Subject 12/100 done. Global efficiency: 0.25021775789957745
Subject 13/100 done. Global efficiency: 0.28786380407439205
Subject 14/100 done. Global efficiency: 0.44677353301257494
Subject 15/100 done. Global efficiency: 0.312841085047795
Subject 16/100 done. Global efficiency: 0.2957162968188957
Subject 17/100 done. Global efficiency: 0.32394001048298443
Subject 18/100 done. Global efficiency: 0.3225070156081808
Subject 19/100 done. Global efficiency: 0.31895026870558196
Subject 20/100 done. Global efficiency: 0.31684537108734223
Subject 21/100 done. Global efficiency: 0.34360332654230846
Subject 22/100 done. Global efficiency: 0.30939837570070805
Subject 23/100 done. Global efficiency: 0.31172916060187933
Subject 24/100 done. Global efficiency: 0.3097463169388159
Subject 25/100 done. Global efficiency: 0.3059336893123339
Subject 26/100 done. Global efficiency: 0.35332538962669935
Subject 27/100 done. Global efficiency: 0.3438397849248153
Subject 28/100 done. Global efficiency: 0.2706497863462566
Subject 29/100 done. Global efficiency: 0.31181797287550733
Subject 30/100 done. Global efficiency: 0.26013679501594145
Subject 31/100 done. Global efficiency: 0.26243255282302275
Subject 32/100 done. Global efficiency: 0.26097093109589653
Subject 33/100 done. Global efficiency: 0.34177682615300853
Subject 34/100 done. Global efficiency: 0.2853059584888095
Subject 35/100 done. Global efficiency: 0.26197643230915796
Subject 36/100 done. Global efficiency: 0.2801250616243087
Subject 37/100 done. Global efficiency: 0.272150149929985
Subject 38/100 done. Global efficiency: 0.21314076470807805
Subject 39/100 done. Global efficiency: 0.31228541412488525
Subject 40/100 done. Global efficiency: 0.3216603280827362
Subject 41/100 done. Global efficiency: 0.26086508217892745
Subject 42/100 done. Global efficiency: 0.3701611838466378
Subject 43/100 done. Global efficiency: 0.2411186955165672
Subject 44/100 done. Global efficiency: 0.33089289016691414
Subject 45/100 done. Global efficiency: 0.3362614259640698
Subject 46/100 done. Global efficiency: 0.37759830498042873
Subject 47/100 done. Global efficiency: 0.29681553686063333
Subject 48/100 done. Global efficiency: 0.25520513556523794
Subject 49/100 done. Global efficiency: 0.23192328499579612
Subject 50/100 done. Global efficiency: 0.2529085787353188
Subject 51/100 done. Global efficiency: 0.26862404411164503
Subject 52/100 done. Global efficiency: 0.2687593786046117
Subject 53/100 done. Global efficiency: 0.3681744179395765
Subject 54/100 done. Global efficiency: 0.2876060629497138
Subject 55/100 done. Global efficiency: 0.3158524085550436
Subject 56/100 done. Global efficiency: 0.23036084466984008
Subject 57/100 done. Global efficiency: 0.23996440095381272
Subject 58/100 done. Global efficiency: 0.3597104278942694
Subject 59/100 done. Global efficiency: 0.367230890272287
Subject 60/100 done. Global efficiency: 0.2722187692899222
Subject 61/100 done. Global efficiency: 0.2822561283208506
Subject 62/100 done. Global efficiency: 0.2790189544131702
Subject 63/100 done. Global efficiency: 0.2606955766642194
Subject 64/100 done. Global efficiency: 0.2527170964110712
Subject 65/100 done. Global efficiency: 0.27674240447362847
Subject 66/100 done. Global efficiency: 0.29928179492629364
Subject 67/100 done. Global efficiency: 0.308292651743061
Subject 68/100 done. Global efficiency: 0.26678162401506794
Subject 69/100 done. Global efficiency: 0.3079222378270078
Subject 70/100 done. Global efficiency: 0.3800198568301017
Subject 71/100 done. Global efficiency: 0.31959280465555534
Subject 72/100 done. Global efficiency: 0.397905054972389
Subject 73/100 done. Global efficiency: 0.3739578637734384
Subject 74/100 done. Global efficiency: 0.26020226711880934
Subject 75/100 done. Global efficiency: 0.4091764067435531
Subject 76/100 done. Global efficiency: 0.30857884514580924
Subject 77/100 done. Global efficiency: 0.36031706315110473
Subject 78/100 done. Global efficiency: 0.27807577559441804
Subject 79/100 done. Global efficiency: 0.362861059894828
Subject 80/100 done. Global efficiency: 0.36029476679822997
Subject 81/100 done. Global efficiency: 0.28256710149031056
Subject 82/100 done. Global efficiency: 0.3081179023702916
Subject 83/100 done. Global efficiency: 0.3444976965462957
Subject 84/100 done. Global efficiency: 0.2913266925090936
Subject 85/100 done. Global efficiency: 0.3724178730415559
Subject 86/100 done. Global efficiency: 0.3604639937669069
Subject 87/100 done. Global efficiency: 0.27819953679610543
Subject 88/100 done. Global efficiency: 0.32517348325169043
Subject 89/100 done. Global efficiency: 0.3283171477513167
Subject 90/100 done. Global efficiency: 0.25579802124997897
Subject 91/100 done. Global efficiency: 0.4153336028231939
Subject 92/100 done. Global efficiency: 0.3194287115324384
Subject 93/100 done. Global efficiency: 0.35279707049204156
Subject 94/100 done. Global efficiency: 0.43400572698757145
